"c1驾照考试","如今考驾照的人是越来越多，我们平时考的c1驾照就是手动挡车型，但是随着时代的发展，手动挡慢慢也被自动挡给替代了，如今我们开车也是越来越方便，","11","1000001"
"驾驶汽车","不少人认为如今的手动挡实在是太麻烦了，不如自动挡方便，但是有一些喜欢怀旧的人还是喜欢手动挡，于是手自一体变速箱就应运而生，虽然这种变速箱结合两种换挡方式，","12","1000001"
"手自一体变速箱","但是还是有很多消费者对于手自一体变速箱不是很了解，那么手自一体变速箱到底怎么开呢？其实很多人没搞清，这才是正确的使用方式在一些道路交通比较差的地方，人们往往认为自动挡汽车在拥挤的道路上只要控制好前进和刹车就可以了，","13","1000001"
"驾驶汽车","以至于很多车主都认为只需要一个档位就可以走遍天下，其实这也不是完全正确的，自动挡上面也有很多档位，只不过很多人不知道而已。手自一体变速箱，","14","1000001"
"手自一体变速箱","顾名思义就是手动挡与自动挡的合体，但是不少人却拿这种变速箱当做自动挡车型来看，这里小编要说的是，千万不要把手自一体变速箱只单纯的当作自动变速箱来看，其实这种变速箱有两种换挡模式，","15","1000001"
"手自一体变速箱","而这两种模式也对应不同的路况。或许大家可能不明白，但是如果仔细观察会发现手自一体变速箱一侧会有字母，只要将档位拨到字母位置来回切换就可以分开使用自动挡和手动挡了，","16","1000001"
"驾驶汽车","但是在使用过程中最好上下坡时使用手动挡模式，如果在拥挤的城市行走时，切换至自动挡就可以了在平时的城市道路比较拥挤时，总会顿顿挫挫，不停的频繁切换档位，","17","1000001"
"驾驶汽车","时间长了很容易导致变速箱过热，连续的刹车也会对汽车的制动性能造成一定的影响，如果这是切换到手动模式，就可以减少档位的切换和制动的频率，这样一来也可以大大的保护汽车，从而增加用车寿命。","18","1000001"
"超跑","说到豪华超跑，你第一时间想到的是什么？是无与伦比的酷炫外形还是动力强劲带来的风驰电掣，一款跑车的速度够快除了发动机要足够强劲之外，","19","1000002"
"超跑行驶","变速箱的作用也不可小觑，因为它可以改变传动比，有着扩大驱动轮转矩和转速的作用。如果一款超跑仅仅是发动机强力但是变速箱一塌糊涂，那么这款车不仅加速性能会远低于同档次的车型，","20","1000002"
"柯尼塞格Regera外观","而且开车时的体验感会巨差。但是有这么一款豪华超跑，虽然它搭载了一台5.0升双涡轮增压V8发动机，这台发动机最大功率达到820千瓦、最大扭矩1250牛米，","21","1000002"
"柯尼塞格Regera外观","但是它最奇特的地方还是它是一台没有变速箱的超跑，而且时速竟然能够达到400千米每小时的速度，它就是豪华超跑品牌柯尼塞格旗下的混动车Regera。为什么柯尼塞格Regera要取消变速箱？首先因为它是一款混动车型，","22","1000002"
"柯尼塞格Regera发动机","搭载了一台5.0L双涡轮增压V8发动机+3台由牛津大学下属的YASAMOTORS提供的3台电动机，纯电力驱动的状态下它可以行驶50千米。","23","1000002"
"柯尼塞格Regera发动机","电机/内燃并联混动在传动变速过程中存在能量损耗，串联混动系统首先将发动机输出的机械能转换成电力，再由电机驱动车轮转化为机械能。这个转换过程中也存在能量损耗，为了追求轻量化和高效率，","24","1000002"
